CityStateID,Zip,Population,Latitude,Longitude
10060,01604,39812,42.25085,-71.7683
10060,01605,30579,42.28979,-71.78802
10060,01606,22844,42.31367,-71.79614
10060,01607,8706,42.22684,-71.79037
10060,01608,4932,42.2621,-71.80145
10060,01609,22047,42.28592,-71.82853
10060,01610,30444,42.24645,-71.80968
9671,01611,2299,42.23945,-71.87702
9897,01612,5002,42.31037,-71.93095
9735,01701,32618,42.32195,-71.43796
9735,01702,39789,42.28242,-71.43428
9602,01718,404,42.52165,-71.42983
9644,01719,5496,42.48837,-71.51779
9602,01720,23526,42.48397,-71.43809
9614,01721,18873,42.25726,-71.46867
9629,01730,14707,42.4995,-71.27799
9755,01731,2110,42.46422,-71.28202
9641,01740,5737,42.43616,-71.60728
9661,01741,5239,42.53001,-71.35128
9681,01742,18448,42.46221,-71.36504
9728,01745,586,42.29155,-71.50101
9771,01746,15094,42.19775,-71.44499
9773,01747,6027,42.12477,-71.535
9774,01748,19358,42.2255,-71.53781
9777,01749,20077,42.38868,-71.54648
9816,01752,41647,42.3494,-71.54681
9822,01754,10712,42.4264,-71.45607
9827,01756,6325,42.09301,-71.55146
9833,01757,30609,42.15723,-71.51978
9848,01760,36782,42.28436,-71.34966
9943,01770,4427,42.23416,-71.37532
9969,01772,9907,42.30144,-71.5304
9802,01773,4891,42.42572,-71.31013
9979,01775,7165,42.42983,-71.51146
9981,01776,19270,42.38456,-71.42316
10010,01778,14033,42.3583,-71.35895
10058,01801,41939,42.48694,-71.15415
9656,01803,26274,42.5028,-71.20147
9609,01810,35648,42.64669,-71.16517
9638,01821,30143,42.54999,-71.25206
9669,01824,26650,42.59156,-71.35553
9699,01826,32629,42.68323,-71.30063
9702,01827,3408,42.67643,-71.50052
9763,01830,26530,42.7959,-71.05323
9763,01832,26386,42.79099,-71.13133
9738,01833,8432,42.72409,-70.9821
9750,01834,6777,42.75198,-71.01486
9763,01835,14782,42.75292,-71.08602
9793,01840,8522,42.70695,-71.16014
9793,01841,52769,42.71077,-71.16494
9793,01843,27445,42.68985,-71.16095
9829,01844,53420,42.73426,-71.18858
9864,01845,32494,42.67132,-71.08669
9806,01850,17740,42.65569,-71.30292
9806,01851,33403,42.62915,-71.33674
9806,01852,37144,42.63231,-71.29538
9806,01854,30081,42.64939,-71.34827
9828,01860,6748,42.83858,-71.01194
9866,01862,12129,42.57427,-71.29437
9869,01863,9796,42.63274,-71.39132
9877,01864,15765,42.58156,-71.08759
