zip,population,latitude,longitude
02910,23499,41.77552,-71.43564
02911,15653,41.85467,-71.47325
02912,4836,41.82783,-71.39959
02914,21834,41.81326,-71.36608
02915,16752,41.77725,-71.34906
02916,8695,41.84438,-71.35258
02917,15293,41.90615,-71.52365
02918,2925,41.84386,-71.43499
02919,29802,41.82733,-71.52002
02920,37155,41.76719,-71.4655
02921,12149,41.76292,-71.51571
03031,11849,42.87056,-71.60683
03032,6119,42.99063,-71.34383
03033,5736,42.74643,-71.67054
03034,4352,43.06269,-71.31106
03036,5300,42.96719,-71.25083
03037,4714,43.1395,-71.2535
03038,34474,42.88867,-71.27932
03042,7430,43.05009,-71.07467
03043,1398,42.99581,-71.81514
03044,4831,42.98899,-71.12494
03045,14080,43.01994,-71.57035
03046,3097,43.10178,-71.60548
03047,1730,42.94029,-71.87053
03048,3237,42.74668,-71.76268
03049,8603,42.7494,-71.58338
03051,25557,42.76394,-71.40716
03052,8499,42.84302,-71.455
03053,26327,42.87927,-71.38702
03054,28176,42.85471,-71.51878
03055,16337,42.81783,-71.67361
03057,2709,42.90265,-71.6861
03060,31657,42.74135,-71.45936
03062,29441,42.72212,-71.49556
03063,15805,42.7795,-71.51939
03064,14391,42.77886,-71.47466
03070,6177,42.97702,-71.68664
03071,5310,42.74892,-71.8747
03076,14449,42.73354,-71.324
03077,10900,43.03219,-71.19945
03079,30964,42.79023,-71.22024
03082,1531,42.90197,-71.77545
03084,1363,42.82856,-71.85495
03086,4258,42.82741,-71.76967
03087,16038,42.80758,-71.29945
03101,3201,42.98881,-71.4659
03102,33959,43.00797,-71.49134
03103,37775,42.95536,-71.44463
03104,35237,43.00926,-71.4411
03106,15032,43.07097,-71.43651
03109,9929,42.96594,-71.40167
03110,23746,42.94065,-71.53023
03215,290,44.03605,-71.48109
03216,2046,43.44656,-71.79374
03217,2183,43.71492,-71.63033
03218,1160,43.33465,-71.28803
03220,7393,43.46793,-71.4758
03221,2200,43.25482,-71.96122
03222,6097,43.62895,-71.78234
03223,3441,43.84784,-71.67597
03224,2392,43.35171,-71.54691
03225,3834,43.36001,-71.23828
03226,1005,43.70259,-71.51086
03227,1388,43.81419,-71.45712
03229,6046,43.19792,-71.69677
03230,1451,43.52685,-71.8622
03231,89,43.45555,-71.75551
03233,156,43.42325,-71.93322
03234,4939,43.21484,-71.33914
03235,8903,43.44831,-71.67208
03237,2575,43.42997,-71.38233
03238,64,43.98168,-71.88701
03240,1354,43.57599,-71.97221
03241,1150,43.71149,-71.81915
03242,6197,43.17365,-71.8224
03243,952,43.5276,-71.7644
03244,8156,43.11822,-71.9192
03245,1917,43.75026,-71.58852
03246,17103,43.57239,-71.4775
03249,7830,43.55806,-71.38505
